fips2010,fips2000,areaname22,name,msa22,fmr22_2,fmr22,msa21,fmr21_2,fmr21,msa20,fmr20_2,fmr20,msa19,fmr19_2,fmr19,msa18,fmr18_2,fmr18,msa17,fmr17_2,fmr17,msa16,fmr16_2,fmr16,msa15,fmr15_2,fmr15,msa14,fmr14_2,fmr14,msa13,fmr13_2,fmr13,msa12,fmr12_2,fmr12,msa11,fmr11_2,fmr11,msa10,fmr10_2,fmr10,msa09,fmr09_2,fmr09,msa08,fmr08_2,fmr08,msa07,fmr07_2,fmr07,msa06,fmr06_2,fmr06,msa05,fmr05_2,fmr05,msa04,fmr04_2,fmr04,msa03,fmr03_2,fmr03,msa02,fmr02_2,fmr02,msa01,fmr01_2,fmr01,msa00,fmr00_2,fmr00,msa99,fmr99_2,fmr99,msa98,fmr98_2,fmr98,msa97,fmr97_2,fmr97,msa96,fmr96_2,fmr96,msa95,fmr95_2,fmr95,msa94,fmr94_2,fmr94,msa93,fmr93_2,fmr93,msa92,fmr92_2,fmr92,msa91,fmr91_2,fmr91,msa90,fmr90_2,fmr90,msa89,fmr89_2,fmr89,msa88,fmr88_2,fmr88,msa87,fmr87_2,fmr87,msa86,fmr86_2,fmr86,msa85,fmr85_2,fmr85,msa83,fmr83_2,fmr83,cbsasub,areaname,state,cousub,county,pop2010,census_region,pop2017,pop2000
2300319210,2300319210,"Aroostook County, ME",Dyer Brook town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,19210,3,213,1,280,199
2300319420,2300319420,"Aroostook County, ME",Eagle Lake town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,19420,3,864,1,725,815
2300321380,2300321380,"Aroostook County, ME",Easton town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,21380,3,1287,1,1175,1249
2300325615,2300325615,"Aroostook County, ME",Fort Fairfield town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,25615,3,3496,1,3365,3579
2300325755,2300325755,"Aroostook County, ME",Fort Kent town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,25755,3,4097,1,3980,4233
2300326735,2300326735,"Aroostook County, ME",Frenchville town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,26735,3,1087,1,930,1225
2300327120,2300327120,"Aroostook County, ME",Garfield plantation,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,27120,3,81,1,95,86
2300327855,2300327855,"Aroostook County, ME",Glenwood plantation,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,27855,3,3,1,0,0
2300328590,2300328590,"Aroostook County, ME",Grand Isle town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,28590,3,467,1,475,518
2300330690,2300330690,"Aroostook County, ME",Hamlin town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,30690,3,219,1,190,257
2300330725,2300330725,"Aroostook County, ME",Hammond town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,30725,3,118,1,110,98
2300332195,2300332195,"Aroostook County, ME",Haynesville town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,32195,3,121,1,65,122
2300332685,2300332685,"Aroostook County, ME",Hersey town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,32685,3,83,1,50,63
2300333385,2300333385,"Aroostook County, ME",Hodgdon town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,33385,3,1309,1,1595,1240
2300333980,2300333980,"Aroostook County, ME",Houlton town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,33980,3,6123,1,5910,6476
2300335065,2300335065,"Aroostook County, ME",Island Falls town,NCNTY23003N23003,781,40,NCNTY23003N23003,734,40,NCNTY23003N23003,714,40,NCNTY23003N23003,742,40,NCNTY23003N23003,697,40,NCNTY23003N23003,681,40,NCNTY23003N23003,658,40,NCNTY23003N23003,679,40,NCNTY23003N23003,637,40,NCNTY23003N23003,632,40,NCNTY23003N23003,584,40,NCNTY23003N23003,629,40,NCNTY23003N23003,623,40,NCNTY23003N23003,585,40,NCNTY23003N23003,582,40,NCNTY23003N23003,542,40,NCNTY23003N23003,516,40,9999,495,40,10000,531,40,10000,524,40,10000,509,40,10000,489,40,10000,483,40,10000,480,40,10000,474,40,10000,466,40,10000,455,40,10000,414,40,10000,423,45,10000,488,45,10000,481,45,10000,459,45,10000,436,45,10000,417,45,10000,400,45,10000,384,45,10000,362,45,10000,384,45,10000,369,45,NCNTY23003N23003,"Aroostook County, ME",23,35065,3,837,1,845,793
